85632509|Philippines|República de Filipinas
85633051|Schweiz|Schwyz|Suisse|Svizzera
85633293|México
85633745|România
85632343|Andorra
85633143|Finland|Suomi
85632757|Guiné-Bissau
85633105|Česko
85632793|Australia
85632573|الامارات
85633279|Latvija
85633341|Noreg|Norge
85632755|Fiji|Viti
85632191|العراق
85632627|ليبيا
85633763|San Marino
85632295|Aruba
85632679|موريتانيا‎
85633739|فلسطين
85632513|Тоҷикистон
85632465|नेपाल
85632431|Federated States of Micronesia
85632749|Brunei
85633285|Monaco
102312305|Organización de las Naciones Unidas|United Nations|Организация Объединённых Наций|الأمم المتحدة
85633345|Aotearoa|New Zealand
85632623|Bolivia|Puliwya|Wuliwya
85632365|Senegaal|Sénégal
85633331|Malta
85633249|Ísland
85632433|Ayiti|Haïti
85632235|Botswana
85632455|Tonga
85632241|ປະເທດລາວ
85632405|Shqipëria
85632661|Seychelles
85632703|Tunisie|تونس
85632591|Solomon Islands
85632765|São Tomé e Príncipe
85632179|Panamá
85632215|Jamaica
85632339|The Bahamas
85632671|Türkmenistan
85632207|عمان
85632593|Jersey
85632609|Bosna i Hercegovina|Босна и Херцеговина
85632253|السعودية
85632529|Antigua and Barbuda
85632303|Rwanda
85632483|Hong Kong S.A.R.|香港
85632229|افغانستان
85633253|Italia
85632499|اليمن
85632383|Malawi|Malaŵi
85632401|الكويت
85632583|Timor-Leste|Timór Lorosa'e
85632305|ދިވެހިރާއްޖެ
85633121|Danmark
85632379|Soomaaliya|الصومال‎
85632393|Türkiye
85633789|Sverige
85632245|Cameroon|Cameroun
85633111|Deutschland
85632511|Uruguay
85632521|Perú|Piruw
85632271|Trinidad and Tobago
85633267|Liachtaschta|Liechtenstein
85632347|Papua New Guinea|Papua Niugini
85632185|Sint Maarten|Sint Maarten (land)
85632313|இலங்கை|ශ්‍රී ලංකාව
85632545|El Salvador
85632997|Belgien|Belgique|België
85633237|Magyarország
85632761|Киргизия|Кыргызстан
85632167|البحرين
85632249|Liberia
85632285|Burundi|Uburundi
85632359|ព្រះរាជាណាចក្រកម្ពុជា
85632325|Tchad|تشاد
85632259|Comores|جزر القمر
85632551|Saint Kitts and Nevis
85632647|Togo
85632643|République démocratique du Congo
85632173|Lesotho
85632227|Tanzania
85632391|Ködörösêse tî Bêafrîka|République centrafricaine
85632713|República Dominicana
85632635|Umbuso weSwatini|eSwatini
85633813|South Africa
85632451|Algérie|الجزائر
85632541|République du Congo
85632729|Moçambique
85632625|Uganda
85632559|Zambia
85632261|Ecuador|Ikwadur
85632535|Namibia|Namibië
85632243|Zimbabwe
85632189|Ghana
85633135|Eesti
85632203|Indonesia
85632605|Singapore|Singapura|சிங்கப்பூர்|新加坡
85632269|Niger
85632781|Eritrea|إريتريا|ኤርትራ
85632281|Angola
85633723|Polska
85632603|The Gambia
85632691|Guinée
85632735|Nigeria|Nàìjíríà
85632287|Guinea Ecuatorial|Guinée équatoriale
85632331|Belau|Palau
85632299|قطر
85632355|Paraguay|Paraguái
85632257|ኢትዮጵያ
85632599|Nicaragua
85632645|Oʻzbekiston
85633337|Nederland
85632161|Macau|澳门
85632441|Curaçao|Pais Kòrsou
85632681|Samoa|Sāmoa
85632263|Ripablik blong Vanuatu|Vanuatu
85632439|Монгол улс
85632675|Cuba
85632763|Việt Nam
85632181|မြန်မာနိုင်ငံ
85632467|Sierra Leone
85632487|Costa Rica
85632785|Österreich
85633769|Slovensko
85632223|Madagascar|Madagasikara
85632569|Saint Vincent and the Grenadines
85632663|Majõl|Marshall Islands
85633259|Kosova|Република Косово
85632429|日本
85632213|Burkina Faso
85633269|Lietuva
85632319|Djibouti|جيبوتي
85632475|বাংলাদেশ
85633041|Canada
85633793|United States
85633171|Ελλάδα
85633001|България
85632667|Црна Гора
85633159|United Kingdom
85632397|Guyana
85632639|조선민주주의인민공화국
85632693|Maroc|المغرب
85632361|ایران
85632425|الأردن
85632773|Հայաստան
85632751|Sudan|السودان
85632533|لبنان
85632171|འབྲུག་ཡུལ་
85632307|Казахстан|Қазақстан
85632323|Honduras
85632657|South Sudan
85632407|Gabon
85633009|Brasil
85633147|France
85632685|Россия
85632231|한국
85632717|Azərbaycan
85633287|Republica Moldova
85633163|Sakartvelo
85632571|Belize
85632329|Kenya
85632413|Syrie|سوريا
85632247|Bénin
85633805|Украина|Україна
85632659|Pakistan|پاکستان
85632581|مصر
85632315|ישראל|إسرائيل
85633217|Kalaallit Nunaat
85632505|Argentina
85632385|Guatemala
85633735|Portugal
85633129|España
85632469|India|भारत
85632317|Venezuela
85632519|Colombia
85632373|Македонија
85632449|Côte d'Ivoire
85632437|Kıbrıs Cumhuriyeti|Κύπρος
85632747|Naoero|Nauru
85632491|Barbados
85632443|Suriname
85632503|Dominica
85632357|Maurice|Mauritius
85632335|Grenada
85632369|St. Lucia
85632607|Tuvalu
85632709|Kiribati|Ribaberiki Kiribati
85632547|Guernsey
85633275|Luxembourg|Luxemburg|Lëtzebuerg (Land)
85632461|Isle of Man|Mannin
85632721|Cabo Verde
85632553|Mali
85633241|Ireland|Éire
85633755|Србија
85633229|Hrvatska
85633779|Slovenija
85632395|Беларусь|Белоруссия
85632403|台灣
