85632267|Republic of Srpska|Република Српска
85632275|Lakshadweep|लक्षद्वीप
85632279|Brcko Distrikt|Brčko distrikt|Distrikt Brčko|Брчко Дистрикт
85632539|Puntland|أرض البنط
85667493|Badghis|بادغيس ولايت|ولایت بادغیس
85667497|Herat|استان هرات|هرات ولايت
85667503|Bamian|باميان ولايت|ولایت بامیان
85667505|Balkh|بلخ ولايت|ولایت بلخ
85667509|Faryab|فارياب ولايت|ولایت فاریاب
85667513|Jowzjan|جوزجان ولايت|ولایت جوزجان
85667519|Ghowr|غور ولايت|ولایت غور
85667523|Sar-e Pol|سرپل ولايت|ولایت سرپل
85667527|Farah|فراه ولايت|ولایت فراه
85667531|Helmand|هلمند ولايت|ولایت هلمند
85667537|Nimruz|نيمروز ولايت|ولایت نیمروز
85667541|Oruzgan|د ارزگان ولايت|ولایت اروزگان
85667549|Kandahar|ولایت قندهار|کندهار ولايت
85667555|Zabol|زابل ولايت|ولایت زابل
85667561|Ghazni|غزني ولايت|ولایت غزنی
85667563|Khowst|خوست ولايت|ولایت خوست
85667567|Paktika|ولایت پکتیکا|پکتيکا ولايت
85667573|Badakhshan|بدخشان ولايت|ولایت بدخشان
85667577|Nurestan|نورستان ولايت|ولایت نورستان
85667581|Kunar|ولایت کنر|کونړ ولايت
85667585|Konduz|ولایت کندز|کندوز ولايت
85667591|Nangarhar|د ننګرهار ولايت|ولایت ننگرهار
85667595|Takhar|تخار ولايت|ولایت تخار
85667601|Baghlan|بغلان ولايت|ولایت بغلان
85667603|Kabul|ولایت کابل|کابل ولايت
85667609|Kapisa|ولایت کاپیسا|کاپيسا ولايت
85667617|Laghman|لغمان ولايت|ولایت لغمان
85667623|Lowgar|لوګر ولايت|ولایت لوگر
85667627|Parwan|ولایت پنجشیر|پنجشېر ولايت
85667631|Samangan|سمنګان ولايت|ولایت سمنگان
85667635|Wardak|ميدان وردګ ولايت|ولایت وردک
85667641|Paktia|ولایت پکتیا|پکتيا ولايت
85667669|Luanda|Luanda Province
85667673|Uíge|Uíge Province
85667687|Bié|Bíe Province
85667707|Huíla|Huíla Province
85667783|Durrës|Qarku i Durrësit
85667789|Fier|Qarku i Fierit
85667793|Shkoder|Shkodër
85667797|Kukës|Qarku i Kukësit
85667801|Qarku i Vlorës|Vlorë
85667807|Korçë|Qarku i Korçës
85667811|Berat|Qarku i Beratit
85667815|Elbasan|Qarku i Elbasanit
85667819|Gjirokaste|Gjirokastë
85667821|Dibër|Qarku i Dibrës
85667829|Lezhë|Qarku i Lezhës
85667923|Andorra la Vella|Parròquia d'Andorra la Vella
85667925|La Massana|Massana
85667951|Ras al Khaimah|رأس الخيمة
85667955|Umm Al Quwain|أم القيوين
85667959|Fujairah|الفجيرة
85667963|Neutral Zone|المنطقة المحايدة
85667969|Ajman|عجمان
85667973|Neutral Zone|المنطقة المحايدة
85667977|Sharjah|الشارقة
85667981|Abu Dhabi|أبو ظبي
85667983|Dubai|دبي
85667997|San Juan|San Juan Province
85668011|Neuquen|Neuquén
85668025|Rio Negro|Río Negro
85668031|Cordoba|Córdoba
85668059|Tucuman|Tucumán
85668073|Entre Rios|Entre Ríos
85668077|Santa Fe|Santa Fe Province
85668081|Autonomous City of Buenos Aires|Ciudad de Buenos Aires
85668083|Aragatsotn|Aragatsotni Marz
85668085|Armavir|Արմավիրի մարզ
85668089|Shirak|Շիրակի մարզ
85668095|Tavush|Տավուշի մարզ
85668099|Ararat|Արարատի մարզ
85668103|Geghark'unik'|Գեղարքունիքի մարզ
85668105|Kotayk'|Կոտայք
85668109|Lorri|Լոռու մարզ
85668115|Erevan|Քաղաք Երէվան
85668119|Syunik'|Սյունիքի մարզ
85668123|Vayots' Dzor|Վայոց Ձորի մարզ
85668195|Agstafa|Ağstafa
85668199|Daskasan|Daşkəsən
85668205|Gadabay|Gədəbəy
85668211|Xanlar|Xanlar Rayonu
85668221|Kalbacar|Kəlbəcər
85668233|Samkir|Şəmkir
85668249|Baki|Bakı
85668251|Abseron|Abşeron
85668257|Agdam|Ağdam Rayonu
85668259|Agdas|Ağdaş
85668289|Agsu|Ağsu
85668303|Barda|Bərdə Rayonu
85668317|Bilasuvar|Biləsuvar
85668323|Cabrayil|Cəbrayıl
85668331|Calilabad|Cəlilabad
85668339|Davaci|Şabran
85668351|Fuzuli|Füzuli Rayonu
85668357|Goycay|Göyçay
85668365|Imisli|İmişli
85668373|Ismayilli|İsmayıllı
85668383|Kurdamir|Kürdəmir
85668389|Lankaran|Lənkəran
85668397|Masalli|Masallı
85668409|Neftcala|Neftçala
85668425|Siyazan|Siyəzən
85668433|Saatli|Saatlı
85668449|Salyan|Salyan rayonu
85668465|Sumqayit|Sumqayıt
85668497|Yardimli|Yardımlı
85668519|Agcabadi|Ağcabədi
85668531|Balakan|Balakən
85668549|Oguz|Oğuz
85668591|Xacmaz|Xaçmaz
85668611|Xocavand|Xocavənd Rayonu
85668621|Lankaran|Laçın Rayonu
85668643|Susa|Şuşa rayonu
85668657|Xankəndi Şəhəri|Xocali
85668659|Zangilan|Zəngilan
85668663|Azarbayjan-e Gharbi|Sədərək
85668665|Ordubad|Ordubad Rayonu
85668667|Sarur|Şərur
85668673|Babek|Babək
85668681|Naxcivan|Naxçıvan Muxtar Respublikası
85668683|Shakhbuz|Şahbuz
85668691|Xankandi|Xocalı Rayonu
85668693|Goranboy|Goranboy Rayonu
85668697|Lankaran|Lənkəran
85668711|Susa|Şuşa Şəhəri
85668717|Kəngərli|Sarur
85668725|Cankuzo|Cankuzo Province|iProvense ya Cankuzo
85668727|Karuzi|Karuzi Province|iProvense ya Karuzi
85668731|Rutana|Rutana Province|iProvense ya Rutana
85668735|Ruyigi|Ruyigi Province|iProvense ya Ruyigi
85668739|Bubanza|Bubanza Province|iProvense ya Bubanza
85668745|Bururi|Bururi Province|iProvense ya Bururi
85668749|Cibitoke|Cibitoke Province|iProvense ya Cibitoke
85668753|Gitega|Gitega Province|iProvense ya Gitega
85668757|Kayanza|Kayanza Province|iProvense ya Kayanza
85668763|Makamba|Makamba Province|iProvense ya Makamba
85668781|Ngozi|Ngozi Province|iProvense ya Ngozi
85668783|Kirundo|Kirundo Province|iProvense ya Kirundo
85668787|Muyinga|Muyinga Province|iProvense ya Muyinga
85668791|Bujumbura Mairie|Bujumbura Mairie Province|IProvense ya Bujumbura Mairie
85668797|Muramvya|Muramvya Province|iProvense ya Muramvya
85668799|Bujumbura Rural|IProvense ya Bujumbura Rural
85668803|Borgou|Borgou Department
85668805|Alibori|Alibori Department
85668807|Collines|Collines Department
85668809|Atlantique|Atlantique Department
85668811|Littoral|Littoral Department
85668815|Kouffo|Kouffo Department
85668817|Ouémé|Ouémé Department
85668819|Zou|Zou Department
85668821|Plateau|Plateau Department
85668823|Mono|Mono Department
85668825|Atakora|Atakora Department
85668827|Donga|Donga Department
85668851|Mou Houn|Mouhoun
85668869|BAM|Bam
85668951|Nahouri|Naouri
85669007|Noumbiel|Poni
85669009|Dhaka|ঢাকা
85669015|Khulna|খুলনা
85669019|Barisal|বরিশাল
85669023|Chittagong|চট্টগ্রাম
85669025|Sylhet|সিলেট
85669031|Rajshahi|রাজশাহী
85669035|Rajshahi|রংপুর
85669039|Southern|الجنوبية
85669043|Northern|الشمالية
85669049|Middle|الوسطى
85669053|Capital|المنامة
85669059|Muharraq|المحرق
85669203|Kanton br. 10|West Bosnia|Županija 10|Кантон 10
85669207|Una-Sana|Unsko-sanska županija|Unsko-sanski kanton|Унско-Сански Кантон
85669213|Central Bosnia|Srednjobosanski kanton|Županija Središnja Bosna|Средњобосански кантон
85669217|West Herzegovina|Zapadnohercegovački kanton|Županija Zapadnohercegovačka|Западнохерцеговачки кантон
85669221|Hercegovačko-neretvanska županija|Hercegovačko-neretvanski kanton|Herzegovina-Neretva|Херцеговачко-неретвански кантон
85669225|Tuzla|Tuzlanska županija|Tuzlanski kanton|Тузлански кантон
85669231|Zenica-Doboj|Zeničko-dobojska županija|Zeničko-dobojski kanton|Зеничко-добојски кантон
85669235|Sarajevo|Sarajevo kanton|Sarajevska županija|Кантон Сарајево
85669239|Bosansko-Podrinjska Županija Goražde|Bosansko-podrinjski kanton Goražde|Bosnian Podrinje|Босанско-Подрињски Кантон Горажде
85669243|Posavina|Posavski kanton|Županija Posavska|Посавски кантон
